iter	Passed	Remaining
0	60	60559
1	61	30453
2	61	20434
3	61	15388
4	62	12362
5	62	10359
6	63	9003
7	63	7909
8	64	7063
9	64	6396
10	64	5839
11	65	5400
12	65	5010
13	66	4668
14	66	4381
15	67	4125
16	67	3899
17	67	3699
18	68	3520
19	68	3356
20	68	3209
21	69	3077
22	69	2958
23	70	2847
24	70	2747
25	70	2650
26	71	2561
27	71	2481
28	71	2403
29	72	2335
30	72	2266
31	72	2204
32	73	2145
33	73	2089
34	73	2036
35	74	1986
36	74	1940
37	74	1895
38	75	1852
39	75	1811
40	75	1774
41	76	1738
42	76	1703
43	76	1669
44	77	1638
45	77	1607
46	77	1578
47	78	1549
48	78	1522
49	78	1496
50	79	1470
51	79	1445
52	79	1421
53	79	1398
54	80	1376
55	80	1355
56	80	1334
57	81	1315
58	81	1296
59	81	1279
60	82	1264
61	82	1247
62	82	1230
63	83	1214
64	83	1198
65	83	1183
66	83	1168
67	84	1154
68	84	1140
69	84	1127
70	85	1115
71	85	1102
72	85	1090
73	86	1080
74	86	1069
75	87	1057
76	87	1046
77	87	1036
78	87	1025
79	88	1014
80	88	1004
81	88	994
82	88	982
83	89	973
84	89	964
85	89	956
86	90	947
87	90	939
88	91	931
89	91	923
90	91	915
91	91	907
92	92	900
93	92	892
94	93	886
95	93	879
96	93	872
97	94	865
98	94	858
99	94	851
100	94	844
101	95	837
102	95	831
103	95	826
104	96	820
105	96	814
106	96	808
107	97	802
108	97	796
109	97	791
110	98	785
111	98	781
112	98	776
113	99	771
114	99	766
115	99	761
116	100	756
117	100	750
118	100	745
119	101	741
120	101	736
121	101	732
122	102	728
123	102	725
124	103	721
125	103	717
126	103	713
127	104	709
128	104	706
129	105	702
130	105	699
131	105	695
132	106	691
133	106	687
134	106	684
135	107	680
136	107	676
137	107	673
138	108	669
139	108	666
140	108	663
141	109	658
142	109	655
143	109	651
144	110	649
145	110	645
146	110	642
147	111	639
148	111	635
149	111	632
150	112	630
151	112	626
152	112	623
153	113	621
154	113	617
155	113	614
156	114	612
157	114	609
158	114	607
159	115	604
160	115	600
161	115	597
162	115	594
163	116	592
164	116	589
165	116	586
166	117	583
167	117	581
168	118	580
169	118	578
170	118	575
171	119	573
172	119	571
173	119	568
174	120	566
175	120	564
176	120	562
177	121	559
178	121	557
179	121	554
180	122	552
181	122	550
182	122	548
183	123	545
184	123	543
185	123	541
186	124	539
187	124	537
188	124	534
189	124	532
190	125	530
191	125	529
192	126	527
193	126	525
194	126	523
195	127	521
196	127	519
197	127	518
198	128	516
199	128	515
